Entry ID,Source Organism,Accession Code(s)
,"Oryctolagus cuniculus, Homo sapiens",
,Homo sapiens,P01857
4O58,Influenza A virus (A/Victoria/3/1975(H3N2)),P03435
,Influenza A virus (A/Victoria/3/1975(H3N2)),P03435
,Homo sapiens,
,Homo sapiens,S6C4S0
4O5I,Influenza A virus (A/Singapore/H2011.447/2011(H3N2)),R9U684
,Influenza A virus (A/Singapore/H2011.447/2011(H3N2)),R9U684
,Homo sapiens,S6C4S0
,Homo sapiens,
4O9H,Homo sapiens,P05231
,Lama glama,
,Lama glama,
4OD2,Homo sapiens,
,Homo sapiens,
,Homo sapiens,O14763
4ODX,synthetic construct,
,Homo sapiens,
,Homo sapiens,P01619
4OGA,Homo sapiens,P01308
,Homo sapiens,P01308
,Mus musculus,
,Mus musculus,
,Homo sapiens,P06213
,Homo sapiens,P06213
4OGR,Homo sapiens,P50750
,Homo sapiens,O60563
,Homo sapiens,Q9UHB7
,Human immunodeficiency virus type 1 (HXB3 ISOLATE),P69698
4OGX,Homo sapiens,P03952
,Homo sapiens,S6C4R2
,Homo sapiens,Q7Z3Y4
4OGY,Homo sapiens,P03952
,Homo sapiens,S6C4R2
,Homo sapiens,Q7Z3Y4
4OJF,Mus musculus,
,Homo sapiens,P05067
,Mus musculus,
4OLU,Human immunodeficiency virus 1,Q0ED31
,Homo sapiens,
,Homo sapiens,
4OLV,Human immunodeficiency virus 1,Q0ED31
,Homo sapiens,
,Homo sapiens,
4OLW,Human immunodeficiency virus 1,Q0ED31
,Homo sapiens,
,Homo sapiens,
4OLX,Human immunodeficiency virus 1,Q0ED31
,Homo sapiens,
,Homo sapiens,
4OLY,Human immunodeficiency virus 1,Q0ED31
,Homo sapiens,
,Homo sapiens,
4OLZ,Human immunodeficiency virus 1,Q0ED31
,Homo sapiens,
,Homo sapiens,
4OM0,Human immunodeficiency virus 1,Q0ED31
,Homo sapiens,
,Homo sapiens,
4OM1,Human immunodeficiency virus 1,Q0ED31
,Homo sapiens,
,Homo sapiens,
4ONF,Mus musculus,
,Mus musculus,
,Homo sapiens,P05067
4ONG,Mus musculus,
,Mus musculus,
,Homo sapiens,P05067
4OQT,Homo sapiens,Q96FE5
,Homo sapiens,Q6PIL8
,Homo sapiens,S6B291
4OR5,Homo sapiens,P50750
,Homo sapiens,O60563
,HIV-1 M:B_HXB2R,P04608
,Homo sapiens,Q9UHB7
4ORH,Homo sapiens,P61088
,Homo sapiens,Q15819
,Homo sapiens,O76064
4ORZ,Homo sapiens,P08631
,HIV-1 M:B_ARV2/SF2,P03407
,Lama glama,
4OT1,Human herpesvirus 5 strain Towne,P13201
,Homo sapiens,
,Homo sapiens,
4OV5,Homo sapiens,P01903
,Homo sapiens,P04439
,Homo sapiens,P01911
4OV6,Homo sapiens,Q8NBP7
,Homo sapiens,A0A075B5G3
,Homo sapiens,Q8NBP7
4OWR,Vesicular stomatitis Indiana virus (strain 85CLB South America),Q8B0H7
,Homo sapiens,P78406
,Homo sapiens,P52948
4OWT,Homo sapiens,Q68E01
,Homo sapiens,Q9BQ15
,Homo sapiens,Q9NRY2
4OWW,Homo sapiens,
,Homo sapiens,Q68E01
,Homo sapiens,Q9BQ15
,Homo sapiens,Q9NRY2
4OZF,Homo sapiens,P01909
,Homo sapiens,Q5Y7D3
,Homo sapiens,Q2YD82
,Homo sapiens,P01850
,Triticum aestivum,P04722
4OZG,Homo sapiens,P01909
,Homo sapiens,Q5Y7D3
,Homo sapiens,Q2YD82
,Homo sapiens,P01850
,Triticum aestivum,P04722
4OZH,Homo sapiens,P01909
,Homo sapiens,Q5Y7D3
,Homo sapiens,Q2YD82
,Homo sapiens,P01850
,Triticum aestivum,P04722
4OZI,Homo sapiens,P01909
,Homo sapiens,Q5Y7D3
,Homo sapiens,Q2YD82
,Homo sapiens,P01850
,Triticum aestivum,P04722
4P3C,Mus musculus,
,Mus musculus,
,Homo sapiens,P50281
4P3D,Mus musculus,
,Mus musculus,A2NHM3
,Homo sapiens,P50281
4P4H,Homo sapiens,P62987
,Homo sapiens,O95786
,Homo sapiens,Q7Z434
4P4K,Homo sapiens,P20036
,Homo sapiens,P04440
,Homo sapiens,P01848
,Homo sapiens,A0A5B9
4P59,Homo sapiens,P21860
,Homo sapiens,
,Homo sapiens,
4P5O,Homo sapiens,Q13616
,Homo sapiens,P62877
,Homo sapiens,Q96GG9
,Homo sapiens,P61081
,Homo sapiens,Q15843
4P5T,Mus musculus,P14434
,Homo sapiens,
,Homo sapiens,
,Mus musculus,P14483
4P6Z,Mus musculus,P22892
,Homo sapiens,P61966
,Mus musculus,P35585
,Homo sapiens,Q10567
,Human immunodeficiency virus type 1 (SF162 ISOLATE),P19554
,Homo sapiens,Q10589
4P9H,Homo sapiens,P01730
,Human immunodeficiency virus 1,Q0ED31
,Homo sapiens,
,Homo sapiens,
4PJ5,Homo sapiens,Q95460
,Homo sapiens,P61769
,Homo sapiens,
,Homo sapiens,
4PJ7,Homo sapiens,Q95460
,Homo sapiens,P61769
,Homo sapiens,
,Homo sapiens,
4PJ8,Homo sapiens,P61769
,Homo sapiens,Q95460
,Homo sapiens,
,Homo sapiens,
4PJ9,Homo sapiens,Q95460
,Homo sapiens,P61769
,Homo sapiens,
,Homo sapiens,
4PJA,Homo sapiens,Q95460
,Homo sapiens,P61769
,Homo sapiens,
,Homo sapiens,
4PJB,Homo sapiens,Q95460
,Homo sapiens,P61769
,Homo sapiens,
,Homo sapiens,
4PJC,Homo sapiens,Q95460
,Homo sapiens,P61769
,Homo sapiens,
,Homo sapiens,
4PJD,Homo sapiens,Q95460
,Homo sapiens,P61769
,Homo sapiens,
,Homo sapiens,
4PJE,Homo sapiens,Q95460
,Homo sapiens,P61769
,Homo sapiens,
,Homo sapiens,
4PJF,Homo sapiens,Q95460
,Homo sapiens,P61769
,Homo sapiens,
,Homo sapiens,
4PJG,Homo sapiens,
,Homo sapiens,Q95460
,Homo sapiens,P61769
,Homo sapiens,
4PJH,Homo sapiens,Q95460
,Homo sapiens,P61769
,Homo sapiens,
,Homo sapiens,
4PJI,Homo sapiens,Q95460
,Homo sapiens,P61769
,Homo sapiens,
,Homo sapiens,
4PJO,Homo sapiens,P14678
,Homo sapiens,P62314
,Homo sapiens,P62304
,Homo sapiens,P62306
,Homo sapiens,P62308
,Homo sapiens,P08621
,Homo sapiens,P09234
,Homo sapiens,
,Homo sapiens,
,Homo sapiens,P62318
,Homo sapiens,P62316
4PJX,Homo sapiens,Q95460
,Homo sapiens,P61769
,Homo sapiens,
,Homo sapiens,
4PKY,Homo sapiens,P27540
,Mus musculus,Q9JJ11
,Homo sapiens,Q99814
4PNK,Homo sapiens,P25098
,Homo sapiens,P62873
,Bos taurus,P63212
4PR5,Homo sapiens,P01889
,Homo sapiens,P61769
,Human gammaherpesvirus 4,Q3KSS4
4PRA,Homo sapiens,C5MK56
,Homo sapiens,P61769
,Human herpesvirus 4 strain B95-8,P03211
4PRB,Homo sapiens,C5MK56
,Homo sapiens,P61769
,Epstein-barr virus strain ag876,Q1HVF7
4PRD,Homo sapiens,C5MK56
,Homo sapiens,P61769
,Human gammaherpesvirus 4,Q3KSS4
4PRE,Homo sapiens,C5MK56
,Homo sapiens,P61769
,Human herpesvirus 4 strain B95-8,P03211
4PRH,Homo sapiens,P01848
,Homo sapiens,C5MK56
,Homo sapiens,P61769
,Human gammaherpesvirus 4,Q3KSS4
,Homo sapiens,P01850
4PRI,Homo sapiens,C5MK56
,Homo sapiens,P61769
,Human herpesvirus 4 strain B95-8,P03211
,Homo sapiens,P01848
,Homo sapiens,P01850
4PRN,Homo sapiens,P01889
,Homo sapiens,P61769
,Epstein-barr virus strain ag876,Q1HVF7
4PRP,Homo sapiens,C5MK56
,Homo sapiens,P61769
,Human herpesvirus 4 strain B95-8,P03211
,Homo sapiens,P01848
,Homo sapiens,P01850
4PS4,Homo sapiens,
,Homo sapiens,
,Homo sapiens,P35225
4PY8,Homo sapiens,
,Influenza A virus (A/South Carolina/1/1918(H1N1)),Q9WFX3
,Influenza A virus (A/South Carolina/1/1918(H1N1)),Q9WFX3
,Homo sapiens,
4Q5E,Shigella sonnei Ss046,Q3YTH2
,Saccharomyces cerevisiae S288C,P0CG63
,Homo sapiens,P68036
4Q5H,Shigella sonnei Ss046,Q3YTH2
,Saccharomyces cerevisiae S288C,P0CG63
,Homo sapiens,P68036
4Q6I,Mus musculus,
,Homo sapiens,P01730
,Mus musculus,
4Q9U,Homo sapiens,Q9UJ41
,Homo sapiens,P20339
,Homo sapiens,Q15276
4QCI,Homo sapiens,
,Homo sapiens,
,Homo sapiens,P01127
4QHU,Homo sapiens,
,Homo sapiens,
,Homo sapiens,Q16552
4QLC,Homo sapiens,
,Homo sapiens,
,Drosophila melanogaster,P02299
,Drosophila melanogaster,P84040
,Drosophila melanogaster,P84051
,Drosophila melanogaster,P02283
,Gallus gallus,P02259
4QOK,Homo sapiens,P04439
,Homo sapiens,P61769
,Homo sapiens,Q16655
,Homo sapiens,
,Homo sapiens,
4QRP,Homo sapiens,P01889
,Homo sapiens,P61769
,Hepacivirus hominis,X2G898
,Homo sapiens,
,Homo sapiens,
4QRQ,Homo sapiens,P01889
,Homo sapiens,P61769
,Hepacivirus hominis,X2G898
4QRR,Homo sapiens,P01889
,Homo sapiens,P61769
,Homo sapiens,
,Homo sapiens,
,Human herpesvirus 5 strain Towne,P18139
4QRS,Homo sapiens,P01889
,Homo sapiens,P61769
,Human betaherpesvirus 5,Q9YRL3
4QRT,Homo sapiens,P01889
,Homo sapiens,P61769
,Human betaherpesvirus 5,Q9YRL8
4QRU,Homo sapiens,P61769
,Human herpesvirus 5 strain Towne,P03169
,Homo sapiens,P01889
4QTI,Mus musculus,
,Mus musculus,
,Homo sapiens,Q03405
4QUE,Homo sapiens,P42574
4QUH,Homo sapiens,P42574
4QXU,Mus musculus,
,Mus musculus,
,Homo sapiens,P50281
4R2G,Homo sapiens,P01730
,Homo sapiens,P0DOY3
,Human immunodeficiency virus type 1 (JRCSF ISOLATE),P20871
,Homo sapiens,P0DOX5
4R3O,Homo sapiens,P60900
,Homo sapiens,P25789
,Homo sapiens,O14818
,Homo sapiens,P28066
,Homo sapiens,P25786
,Homo sapiens,P25788
,Homo sapiens,P28072
,Homo sapiens,Q99436
,Homo sapiens,P49721
,Homo sapiens,P28074
,Homo sapiens,P28070
,Homo sapiens,P49720
,Homo sapiens,P20618
,Homo sapiens,P25787
4R3Z,Homo sapiens,Q12904
,Homo sapiens,P54136
,Homo sapiens,P47897
4R4F,Homo sapiens,
,Homo sapiens,
,Human immunodeficiency virus 1,P35961
4R4H,Human immunodeficiency virus 1,Q73372
,Homo sapiens,P01730
,Homo sapiens,
,Homo sapiens,
4R4N,Human immunodeficiency virus 1,Q0ED04
,synthetic construct,
,Homo sapiens,
,Homo sapiens,
4R67,Homo sapiens,P25787
,Homo sapiens,P25789
,Homo sapiens,P28066
,Homo sapiens,P25786
,Homo sapiens,P25788
,Homo sapiens,P28072
,Homo sapiens,Q99436
,Homo sapiens,P49720
,Homo sapiens,P49721
,Homo sapiens,P28074
,Homo sapiens,P28070
,Homo sapiens,P60900
,Homo sapiens,P20618
,Homo sapiens,O14818
4R8P,Xenopus laevis,P84233
,Xenopus laevis,P62799
,Xenopus laevis,P06897
,Xenopus laevis,P02281
,synthetic construct,
,synthetic construct,
,Homo sapiens,P35226
,Homo sapiens,"Q99496, P61077"
4R8W,Homo sapiens,
,Influenza A virus (A/Anhui/1-BALF_RG45/2013(H7N9)),A0A024E3P0
,Influenza A virus (A/Anhui/1-BALF_RG45/2013(H7N9)),A0A024E2M1
,Homo sapiens,
4R9Y,Homo sapiens,P02776
,Mus musculus,
,Mus musculus,
4RAU,Mus musculus,
,Mus musculus,
,Homo sapiens,P02776
4RAV,Homo sapiens,
,Homo sapiens,
,Homo sapiens,P42858
4RER,Homo sapiens,Q13131
,Homo sapiens,O43741
,Homo sapiens,P54619
4REW,Homo sapiens,Q13131
,Homo sapiens,O43741
,Homo sapiens,P54619
4RFO,Human immunodeficiency virus 1,Q0ED31
,synthetic construct,
,Homo sapiens,
,Homo sapiens,
4RIS,Human immunodeficiency virus 1,Q70966
,Homo sapiens,
,Homo sapiens,
4RQS,Homo sapiens,P01730
,Homo sapiens,
,Homo sapiens,
,Human immunodeficiency virus type 1 (isolate YU2),P35961
4RWY,Human immunodeficiency virus 1,P35961
,Homo sapiens,
,Homo sapiens,
4RX4,Homo sapiens,
,Human immunodeficiency virus 1,Q8JDI3
,Homo sapiens,
4S1Q,Human immunodeficiency virus 1,A0A0M3KKW9
,Homo sapiens,
,Homo sapiens,
4S1R,Human immunodeficiency virus 1,A0A0M3KKW9
,Homo sapiens,
,Homo sapiens,
4S1S,Human immunodeficiency virus 1,A0A0M3KKW9
,Homo sapiens,
,Homo sapiens,
4S3O,Homo sapiens,P61077
,Homo sapiens,Q99496
,Homo sapiens,Q86SE9
4THN,Homo sapiens,P00734
,Homo sapiens,P00734
4TN7,Mus musculus,P59997
,Mus musculus,P59997
,Homo sapiens,P68431
4TQE,Mus musculus,A2NHM3
,Mus musculus,
,Homo sapiens,P10636
4TSA,Gallus gallus,P00698
,Homo sapiens,
,Homo sapiens,
4TSB,Gallus gallus,P00698
,Homo sapiens,
,Homo sapiens,
4TSC,Gallus gallus,P00698
,Homo sapiens,
,Homo sapiens,
4TTD,Gallus gallus,P00698
,Homo sapiens,
,Homo sapiens,
4TUZ,Homo sapiens,P03372
,Homo sapiens,P03372
,Homo sapiens,Q15788
4TV1,Homo sapiens,P03372
,Homo sapiens,P03372
,Homo sapiens,Q15788
4TVP,Human immunodeficiency virus 1,Q2N0S5
,Human immunodeficiency virus 1,Q2N0S5
,Homo sapiens,
,Homo sapiens,
,Homo sapiens,
,Homo sapiens,
4TXR,Homo sapiens,Q7LBR1
,Homo sapiens,Q9NP79
,Homo sapiens,Q9NZZ3
4U1H,Homo sapiens,P01889
,Homo sapiens,P61769
,Human immunodeficiency virus 1,P04585
4U1I,Homo sapiens,P01889
,Homo sapiens,P61769
,Human immunodeficiency virus 1,P04585
4U1J,Homo sapiens,P01889
,Homo sapiens,P61769
,Human immunodeficiency virus 1,P04585
4U1K,Homo sapiens,P01889
,Homo sapiens,P61769
,Human immunodeficiency virus 1,P03407
4U1L,Homo sapiens,P01889
,Homo sapiens,P61769
,Human immunodeficiency virus 1,P03407
4U1M,Homo sapiens,P01889
,Homo sapiens,P61769
,Human immunodeficiency virus 1,P03407
4U1N,Homo sapiens,P01889
,Homo sapiens,P61769
,Human immunodeficiency virus 1,P03407
4U1S,Homo sapiens,P01889
,Homo sapiens,P61769
,Human immunodeficiency virus 1,P69726
4U6G,Homo sapiens,
,Homo sapiens,
,Human immunodeficiency virus 1,I3VHW6
4U6V,Homo sapiens,
,Homo sapiens,
,Staphylococcus aureus subsp. aureus TCH60,Q2G1X0
4U6X,Homo sapiens,P04439
,Homo sapiens,P61769
,synthetic construct,
4U6Y,Homo sapiens,P04439
,Homo sapiens,P61769
,synthetic construct,
4U7T,Homo sapiens,Q9Y6K1
,Homo sapiens,Q9UJW3
,Homo sapiens,P84243
4UBD,Homo sapiens,
,Influenza A virus (A/Hong Kong/1/1968(H3N2)),Q91MA7
,Influenza A virus (A/Hong Kong/1/1968(H3N2)),Q91MA7
,Homo sapiens,
4UD9,Homo sapiens,P00734
,Hirudo medicinalis,P09945
,Homo sapiens,P00734
4UDF,Echovirus 22 (strain Harris),Q66578
,Homo sapiens,
,Homo sapiens,
,Echovirus 22 (strain Harris),Q66578
4UDU,Homo sapiens,"A0A0B4J277, P01848"
,Homo sapiens,"A0A5A3, A0A5B9"
,Staphylococcus aureus,P12993
4UDW,Homo sapiens,P00734
,Hirudo medicinalis,P09945
,Homo sapiens,P00734
4UE7,Homo sapiens,P00734
,Hirudo medicinalis,P09945
,Homo sapiens,P00734
4UEH,Homo sapiens,P00734
,Hirudo medicinalis,P09945
,Homo sapiens,P00734
4UEL,Homo sapiens,Q9Y5K5
,Homo sapiens,P0CG47
,Homo sapiens,Q16186
4UF6,Homo sapiens,Q6P4R8
,Homo sapiens,Q9Y5K5
,Homo sapiens,P0CG47
4UFD,Homo sapiens,P00734
,Hirudo medicinalis,P09945
,Homo sapiens,P00734
4UFE,Homo sapiens,P00734
,Hirudo medicinalis,P09945
,Homo sapiens,P00734
4UFF,Homo sapiens,P00734
,Hirudo medicinalis,P09945
,Homo sapiens,P00734
4UFG,Homo sapiens,P00734
,Hirudo medicinalis,P09945
,Homo sapiens,P00734
4UFS,Homo sapiens,O75473
,Homo sapiens,Q8BFU0
,Homo sapiens,Q9ULT6
4UG0,Homo sapiens,
,Homo sapiens,P62917
,Homo sapiens,P39023
,Homo sapiens,P36578
,Homo sapiens,P46777
,Homo sapiens,Q02878
,Homo sapiens,P32969
,Homo sapiens,Q96L21
,Homo sapiens,P62913
,Homo sapiens,P26373
,Homo sapiens,P50914
,Homo sapiens,P40429
,Homo sapiens,P18621
,Homo sapiens,Q07020
,Homo sapiens,P84098
,Homo sapiens,Q02543
,Homo sapiens,P46778
,Homo sapiens,P35268
,Homo sapiens,P62829
,Homo sapiens,P61353
,Homo sapiens,P62888
,Homo sapiens,P62899
,Homo sapiens,P62910
,Homo sapiens,P18077
,Homo sapiens,P42766
,Homo sapiens,Q9Y3U8
,Homo sapiens,P61927
,Homo sapiens,P63173
,Homo sapiens,P62891
,Homo sapiens,P62987
,Homo sapiens,P62945
,Homo sapiens,P83881
,Homo sapiens,P61513
,Homo sapiens,P46779
,Homo sapiens,P62906
,Homo sapiens,
,Homo sapiens,174924
,Homo sapiens,P61247
,Homo sapiens,P23396
,Homo sapiens,P62701
,Homo sapiens,P62081
,Homo sapiens,P62241
,Homo sapiens,P62280
,Homo sapiens,P62841
,Homo sapiens,P62249
,Homo sapiens,P08708
,Homo sapiens,P62269
,Homo sapiens,P39019
,Homo sapiens,P60866
,Homo sapiens,P63220
,Homo sapiens,P62266
,Homo sapiens,P62854
,Homo sapiens,P62273
,Homo sapiens,P63244
,Homo sapiens,P15880
,Homo sapiens,P62753
,Homo sapiens,
,Homo sapiens,P62277
,Homo sapiens,P62263
,Homo sapiens,P62244
,Homo sapiens,P62847
,Homo sapiens,P62851
,Homo sapiens,P42677
,Homo sapiens,P62861
,Homo sapiens,
,Homo sapiens,P62424
,Homo sapiens,P61313
,Homo sapiens,P83731
,Homo sapiens,P62750
,Homo sapiens,P61254
,Homo sapiens,P46776
,Homo sapiens,
,Homo sapiens,P47914
,Homo sapiens,P49207
,Homo sapiens,P08865
,Homo sapiens,P46782
,Homo sapiens,P46783
,Homo sapiens,P62857
,Homo sapiens,P62979
,Homo sapiens,P46781
,Homo sapiens,P18124
4UI2,Homo sapiens,Q92859
,Homo sapiens,P12643
,Homo sapiens,Q6NW40
,Homo sapiens,Q6NW40
4UI9,Homo sapiens,Q9H1A4
,Homo sapiens,Q9NYG5
,Homo sapiens,Q9UJX2
,Homo sapiens,P60006
,Homo sapiens,Q96DE5
,Homo sapiens,P30260
,Homo sapiens,Q8NHZ8
,Homo sapiens,Q13042
,Homo sapiens,Q13042
,Homo sapiens,Q9UM13
,Homo sapiens,Q9BS18
,Homo sapiens,Q9UJX6
,Homo sapiens,Q9UJX4
,Homo sapiens,Q9UM11
,Homo sapiens,Q9UKT4
,Homo sapiens,
,Homo sapiens,Q9UKT4
,Homo sapiens,Q8NHZ8
,Homo sapiens,Q9UJX3
,Homo sapiens,Q9UJX5
4UIF,dengue virus type 2,E0WXJ2
,dengue virus type 2,E0WXJ2
,Homo sapiens,
,Homo sapiens,S6BGD6
4UIH,dengue virus type 2,P14340
,Homo sapiens,
,Homo sapiens,
4UIS,Homo sapiens,Q92542
,Homo sapiens,
,Homo sapiens,
,Homo sapiens,D9IEF7
,Homo sapiens,P49768
4UJ3,Homo sapiens,P62491
,Homo sapiens,Q96QF0
,Homo sapiens,O75154
4UJ4,Homo sapiens,P62491
,Homo sapiens,Q96QF0
,Homo sapiens,O75154
4UM9,Homo sapiens,P06756
,Homo sapiens,P18564
,Homo sapiens,P10600
,Homo sapiens,P18564
4UQ2,Homo sapiens,P04439
,Homo sapiens,P61769
,synthetic construct,
4UQ3,Homo sapiens,P04439
,Homo sapiens,P61769
,synthetic construct,
4UQI,Rattus norvegicus,P18484
,Homo sapiens,P63010
,Rattus norvegicus,P84092
,Mus musculus,P62743
4UT6,dengue virus type 2,A0A0B4SHY9
,Homo sapiens,
,Homo sapiens,
4UT9,dengue virus type 2,Q68Y26
,Homo sapiens,
,Homo sapiens,
4UTA,dengue virus type 2,A0A0B4SHY9
,Homo sapiens,
,Homo sapiens,
4UTB,Homo sapiens,
,dengue virus type 2,A0A0B4SHY9
,Homo sapiens,
4UU9,Homo sapiens,
,Homo sapiens,P01031
,Homo sapiens,
4UUZ,Drosophila melanogaster,P02299
,Drosophila melanogaster,P84040
,Homo sapiens,P49736
4UV7,Homo sapiens,P00533
,Homo sapiens,
,Homo sapiens,
4UX8,Homo sapiens,P07949
,Rattus norvegicus,Q62997
,Homo sapiens,P39905
4UXO,Bos taurus,P81947
,Bos taurus,Q6B856
,Homo sapiens,Q12756
4UXP,Bos taurus,P81947
,Bos taurus,Q6B856
,Homo sapiens,Q12756
4UXR,Bos taurus,P81947
,Bos taurus,Q6B856
,Homo sapiens,Q12756
4UXS,Bos taurus,P81947
,Bos taurus,Q6B856
,Homo sapiens,Q12756
4UXT,Bos taurus,P81947
,Bos taurus,Q6B856
,Homo sapiens,Q12840
4UXY,Bos taurus,Q6B856
,Homo sapiens,Q12840
,Bos taurus,P81947
4UY0,Bos taurus,P81947
,Bos taurus,Q6B856
,Homo sapiens,Q12840
4V0U,Mus musculus,P63087
,Homo sapiens,Q5SWA1
,Oryctolagus cuniculus,P68135
4V1D,Homo sapiens,
,Homo sapiens,
,Centruroides noxius,P01495
,Homo sapiens,
,Homo sapiens,
4V3K,Homo sapiens,P62837
,Homo sapiens,Q9H0F5
,Homo sapiens,P0CG48
4V3L,Homo sapiens,P62837
,Homo sapiens,P0CG48
,Homo sapiens,Q9H0F5
4V6M,Escherichia coli,J01695
,Escherichia coli K-12,P02358
,Escherichia coli K-12,P02359
,Escherichia coli K-12,P0A7W7
,Escherichia coli K-12,P0A7X3
,Escherichia coli K-12,P0A7R5
,Escherichia coli K-12,P0A7R9
,Escherichia coli K-12,P0A7S3
,Escherichia coli K-12,P0ADZ4
,Escherichia coli K-12,P0AG59
,Escherichia coli K-12,P0A7S3
,Escherichia coli,
,Escherichia coli K-12,P0A7T3
,Escherichia coli K-12,P0AG63
,Escherichia coli K-12,P0A7T7
,Escherichia coli K-12,P0A7U3
,Escherichia coli K-12,P0A7U7
,Escherichia coli K-12,P68679
,Escherichia coli DH1,AP012030
,Escherichia coli DH1,AP012030
,Escherichia coli 536,
,Escherichia coli 536,
,Escherichia coli DH1,AP012030
,Escherichia coli K-12,P0A7L0
,Escherichia coli K-12,P60422
,Escherichia coli K-12,P60438
,Escherichia coli K-12,P60723
,Escherichia coli K-12,P62399
,Escherichia coli K-12,P0AG55
,Escherichia coli K-12,P0A7R1
,Escherichia coli K-12,P0A7J7
,Escherichia coli K-12,P0AA10
,Escherichia coli K-12,P0ADY3
,Escherichia coli O157:H7,Q8X9Y5
,Escherichia coli K-12,P02413
,Escherichia coli K-12,P0ADY7
,Escherichia coli K-12,P0AG44
,Escherichia coli K-12,P0C018
,Escherichia coli K-12,P0A7K6
,Escherichia coli K-12,P0A7L3
,Escherichia coli K-12,P0AG48
,Escherichia coli K-12,P61175
,Escherichia coli K-12,P0ADZ0
,Escherichia coli K-12,P60624
,Homo sapiens,P02647
,Escherichia coli K-12,P68919
,Escherichia coli K-12,P0A7L8
,Escherichia coli K-12,P0A7M2
,Escherichia coli K-12,P0A7M6
,Escherichia coli K-12,P0AG51
,Escherichia coli K-12,P0A7N4
,Escherichia coli K-12,P0A7N9
,Escherichia coli K-12,P0A7P5
,Escherichia coli K-12,P0A7Q1
,Escherichia coli K-12,P0A7Q6
,Escherichia coli K-12,P0A7V0
,Escherichia coli K-12,P0A7V3
,Escherichia coli K-12,P0A7V8
,Escherichia coli K-12,P0A7W1
4V6X,Homo sapiens,P63244
,Homo sapiens,P60866
,Homo sapiens,P46783
,Homo sapiens,P62263
,Homo sapiens,P62266
,Homo sapiens,P25398
,Homo sapiens,P62269
,Homo sapiens,P62280
,Homo sapiens,P08708
,Homo sapiens,P62841
,Homo sapiens,P39019
,Homo sapiens,P61247
,Homo sapiens,P08865
,Homo sapiens,P63220
,Homo sapiens,P62847
,Homo sapiens,P62851
,Homo sapiens,P62854
,Homo sapiens,P42677
,Homo sapiens,P62857
,Homo sapiens,P23396
,Homo sapiens,P62861
,Homo sapiens,P62979
,Homo sapiens,P46781
,Homo sapiens,P62701
,Homo sapiens,P15880
,Homo sapiens,P46782
,Homo sapiens,P62081
,Homo sapiens,P62244
,Homo sapiens,P62241
,Homo sapiens,P62249
,Homo sapiens,Q8NC51
,Homo sapiens,X03205
,Homo sapiens,K00328
,Homo sapiens,P05388
,Homo sapiens,P30050
,Homo sapiens,P40429
,Homo sapiens,P62829
,Homo sapiens,P46776
,Homo sapiens,P61313
,Homo sapiens,Q96L21
,Homo sapiens,P46777
,Homo sapiens,Q07020
,Homo sapiens,P84098
,Homo sapiens,P62917
,Homo sapiens,P46778
,Homo sapiens,P18621
,Homo sapiens,P35268
,Homo sapiens,P62750
,Homo sapiens,P61254
,Homo sapiens,P83731
,Homo sapiens,P61353
,Homo sapiens,P46779
,Homo sapiens,P42766
,Homo sapiens,P47914
,Homo sapiens,P39023
,Homo sapiens,P18124
,Homo sapiens,P62888
,Homo sapiens,P62899
,Homo sapiens,P62910
,Homo sapiens,P18077
,Homo sapiens,P49207
,Homo sapiens,Q9Y3U8
,Homo sapiens,P63173
,Homo sapiens,P62891
,Homo sapiens,P36578
,Homo sapiens,P62987
,Homo sapiens,P62945
,Homo sapiens,P61513
,Homo sapiens,P83881
,Homo sapiens,P62913
,Homo sapiens,P32969
,Homo sapiens,Q02878
,Homo sapiens,P62424
,Homo sapiens,P05386
,Homo sapiens,P05387
,Homo sapiens,NR_003287
,Homo sapiens,NR_046235
,Homo sapiens,P13639
,Homo sapiens,P62277
,Homo sapiens,P62753
,Homo sapiens,P62906
,Homo sapiens,P26373
,Homo sapiens,P50914
,Homo sapiens,Q02543
,Homo sapiens,P61927
,Homo sapiens,V00589
,Homo sapiens,P62273
4V98,Homo sapiens,P62314
,Homo sapiens,P62316
,Homo sapiens,P62304
,Drosophila melanogaster,Q9VV74
,Drosophila melanogaster,Q9VVX0
,Drosophila melanogaster,A1ZAW5
,Homo sapiens,P62308
,Homo sapiens,P62306
4W2R,Anolis carolinensis,G1KPH4
,Homo sapiens,O75530
,Homo sapiens,Q15022
4W9C,Homo sapiens,Q15369
,Homo sapiens,Q15370
,Homo sapiens,P40337
4W9D,Homo sapiens,Q15370
,Homo sapiens,Q15369
,Homo sapiens,P40337
4W9E,Homo sapiens,Q15370
,Homo sapiens,Q15369
,Homo sapiens,P40337
4W9F,Homo sapiens,Q15370
,Homo sapiens,Q15369
,Homo sapiens,P40337
4W9G,Homo sapiens,Q15370
,Homo sapiens,Q15369
,Homo sapiens,P40337
4W9H,Homo sapiens,Q15370
,Homo sapiens,Q15369
,Homo sapiens,Q15369
,Homo sapiens,P40337
4W9I,Homo sapiens,Q15370
,Homo sapiens,Q15369
,Homo sapiens,P40337
4W9J,Homo sapiens,Q15369
,Homo sapiens,P40337
,Homo sapiens,Q15370
4W9K,Homo sapiens,Q15369
,Homo sapiens,Q15370
,Homo sapiens,P40337
4W9L,Homo sapiens,Q15369
,Homo sapiens,Q15370
,Homo sapiens,P40337
